season,date,home,away,hscore,ascore
1997,23-Aug-97,Bath,Newcastle Falcons,13,20
1997,23-Aug-97,Gloucester,Bristol,35,13
1997,23-Aug-97,Northampton Saints,Harlequins,23,26
1997,23-Aug-97,Richmond,London Irish,32,12
1997,24-Aug-97,Sale Sharks,Saracens,10,19
1997,30-Aug-97,Harlequins,Bath,20,27
1997,30-Aug-97,Bristol,Wasps,21,38
1997,30-Aug-97,Leicester Tigers,Gloucester,33,16
1997,30-Aug-97,London Irish,Sale Sharks,20,26
1997,8-Oct-97,Newcastle Falcons,Northampton Saints,37,12
1997,8-Oct-97,Saracens,Richmond,15,9
1997,18-Oct-97,Richmond,Harlequins,37,16
1997,18-Oct-97,Bath,Bristol,44,15
1997,18-Oct-97,Northampton Saints,Leicester Tigers,25,6
1997,18-Oct-97,Sale Sharks,Newcastle Falcons,26,33
1997,19-Oct-97,Wasps,Saracens,15,19
1997,19-Oct-97,Gloucester,London Irish,29,7
1997,25-Oct-97,Leicester Tigers,Bath,33,22
1997,25-Oct-97,Harlequins,Sale Sharks,52,41
1997,26-Oct-97,Bristol,Northampton Saints,22,15
1997,26-Oct-97,London Irish,Wasps,22,17
1997,26-Oct-97,Newcastle Falcons,Richmond,18,12
1997,26-Oct-97,Saracens,Gloucester,42,24
1997,1-Nov-97,Bath,Richmond,47,31
1997,1-Nov-97,London Irish,Newcastle Falcons,19,35
1997,2-Nov-97,Gloucester,Harlequins,16,17
1997,2-Nov-97,Wasps,Sale Sharks,22,38
1997,2-Nov-97,Saracens,Bristol,31,9
1997,8-Nov-97,Northampton Saints,Saracens,13,19
1997,9-Nov-97,Sale Sharks,Bristol,76,0
1997,13-Dec-97,Leicester Tigers,Sale Sharks,55,15
1997,13-Dec-97,Bristol,Richmond,12,13
1997,13-Dec-97,London Irish,Northampton Saints,10,51
1997,13-Dec-97,Harlequins,Wasps,53,17
1997,14-Dec-97,Newcastle Falcons,Gloucester,37,27
1997,14-Dec-97,Saracens,Bath,50,23
1997,16-Dec-97,Richmond,Leicester Tigers,32,15
1997,20-Dec-97,Leicester Tigers,Harlequins,27,3
1997,21-Dec-97,Richmond,Northampton Saints,21,24
1997,26-Dec-97,Saracens,Leicester Tigers,21,22
1997,27-Dec-97,Bristol,Newcastle Falcons,8,50
1997,27-Dec-97,Gloucester,Richmond,26,20
1997,27-Dec-97,Harlequins,London Irish,26,24
1997,27-Dec-97,Northampton Saints,Wasps,18,10
1997,27-Dec-97,Sale Sharks,Bath,11,13
1997,30-Dec-97,Bath,Northampton Saints,26,3
1997,30-Dec-97,London Irish,Saracens,10,25
1997,30-Dec-97,Wasps,Richmond,22,18
1997,30-Dec-97,Sale Sharks,Gloucester,24,24
1997,30-Dec-97,Leicester Tigers,Newcastle Falcons,19,25
1997,31-Dec-97,Harlequins,Bristol,38,40
1997,10-Jan-98,Northampton Saints,Sale Sharks,33,14
1997,11-Jan-98,Wasps,Gloucester,26,20
1997,11-Jan-98,Newcastle Falcons,London Irish,46,13
1997,11-Jan-98,Saracens,Harlequins,25,16
1997,17-Jan-98,Leicester Tigers,Wasps,45,21
1997,17-Jan-98,London Irish,Richmond,14,45
1997,18-Jan-98,Bristol,Gloucester,13,14
1997,18-Jan-98,Harlequins,Northampton Saints,5,30
1997,31-Jan-98,Richmond,Saracens,10,15
1997,31-Jan-98,Northampton Saints,Newcastle Falcons,17,21
1997,1-Feb-98,Gloucester,Leicester Tigers,32,25
1997,1-Feb-98,Wasps,Bristol,32,18
1997,1-Feb-98,Sale Sharks,London Irish,41,16
1997,11-Feb-98,Bath,Gloucester,47,3
1997,14-Feb-98,Gloucester,Northampton Saints,20,15
1997,14-Feb-98,Bath,Wasps,43,27
1997,14-Feb-98,Bristol,Saracens,20,37
1997,14-Feb-98,Leicester Tigers,London Irish,34,19
1997,15-Feb-98,Newcastle Falcons,Harlequins,43,15
1997,15-Feb-98,Richmond,Sale Sharks,20,28
1997,20-Feb-98,London Irish,Bristol,38,23
1997,24-Feb-98,Saracens,Sale Sharks,42,20
1997,28-Feb-98,Bath,Harlequins,39,13
1997,28-Feb-98,Bristol,Leicester Tigers,24,27
1997,7-Mar-98,Leicester Tigers,Northampton Saints,15,15
1997,7-Mar-98,Harlequins,Richmond,41,12
1997,8-Mar-98,Bristol,Bath,16,22
1997,8-Mar-98,Saracens,Wasps,33,27
1997,10-Mar-98,Newcastle Falcons,Sale Sharks,23,18
1997,11-Mar-98,Gloucester,Wasps,22,15
1997,14-Mar-98,Bath,Leicester Tigers,16,5
1997,14-Mar-98,Northampton Saints,Bristol,35,12
1997,14-Mar-98,Richmond,Newcastle Falcons,30,17
1997,14-Mar-98,Sale Sharks,Harlequins,23,13
1997,15-Mar-98,Gloucester,Saracens,38,15
1997,15-Mar-98,Wasps,London Irish,19,38
1997,24-Mar-98,London Irish,Gloucester,23,19
1997,25-Mar-98,Newcastle Falcons,Saracens,30,25
1997,28-Mar-98,Leicester Tigers,Richmond,42,19
1997,28-Mar-98,London Irish,Bath,35,49
1997,29-Mar-98,Harlequins,Gloucester,36,16
1997,7-Apr-98,Newcastle Falcons,Wasps,20,13
1997,10-Apr-98,Bath,Saracens,13,29
1997,10-Apr-98,Richmond,Bristol,43,3
1997,11-Apr-98,Gloucester,Newcastle Falcons,27,29
1997,11-Apr-98,Sale Sharks,Leicester Tigers,35,21
1997,12-Apr-98,Wasps,Harlequins,29,26
1997,13-Apr-98,Richmond,Bath,32,14
1997,15-Apr-98,Bristol,Sale Sharks,15,25
1997,18-Apr-98,Harlequins,Leicester Tigers,14,23
1997,18-Apr-98,Gloucester,Bath,27,17
1997,18-Apr-98,Northampton Saints,Richmond,39,47
1997,18-Apr-98,Sale Sharks,Wasps,28,28
1997,19-Apr-98,Bristol,London Irish,5,17
1997,19-Apr-98,Saracens,Newcastle Falcons,12,10
1997,22-Apr-98,Northampton Saints,London Irish,33,18
1997,22-Apr-98,Wasps,Newcastle Falcons,18,17
1997,25-Apr-98,Leicester Tigers,Saracens,10,10
1997,25-Apr-98,Bath,Sale Sharks,19,29
1997,25-Apr-98,London Irish,Harlequins,62,14
1997,25-Apr-98,Richmond,Gloucester,33,22
1997,26-Apr-98,Wasps,Northampton Saints,31,15
1997,26-Apr-98,Newcastle Falcons,Bristol,43,18
1997,28-Apr-98,Bath,London Irish,20,3
1997,29-Apr-98,Harlequins,Saracens,26,28
1997,29-Apr-98,Wasps,Leicester Tigers,17,13
1997,2-May-98,Gloucester,Sale Sharks,31,19
1997,2-May-98,Northampton Saints,Bath,16,15
1997,2-May-98,Richmond,Wasps,51,29
1997,3-May-98,Bristol,Harlequins,19,26
1997,3-May-98,Saracens,London Irish,29,21
1997,4-May-98,Newcastle Falcons,Leicester Tigers,27,10
1997,10-May-98,Leicester Tigers,Bristol,34,25
1997,10-May-98,Sale Sharks,Northampton Saints,30,19
1997,11-May-98,Newcastle Falcons,Bath,20,15
1997,14-May-98,Saracens,Northampton Saints,43,20
1997,17-May-98,Harlequins,Newcastle Falcons,20,44
1997,17-May-98,London Irish,Leicester Tigers,16,55
1997,17-May-98,Wasps,Bath,17,31
1997,17-May-98,Northampton Saints,Gloucester,22,24
1997,17-May-98,Sale Sharks,Richmond,28,40
1998,5-Sep-98,Richmond,Newcastle Falcons,41,29
1998,5-Sep-98,Bath,Wasps,36,27
1998,5-Sep-98,Gloucester,London Irish,29,22
1998,5-Sep-98,Leicester Tigers,Harlequins,49,15
1998,5-Sep-98,London Scottish,Sale Sharks,25,20
1998,6-Sep-98,Saracens,Northampton Saints,34,7
1998,12-Sep-98,Newcastle Falcons,Bath,19,17
1998,12-Sep-98,London Scottish,Leicester Tigers,3,38
1998,12-Sep-98,Northampton Saints,Harlequins,25,6
1998,12-Sep-98,Richmond,Gloucester,22,25
1998,12-Sep-98,Sale Sharks,Bedford Blues,39,21
1998,13-Sep-98,West Hartlepool,London Irish,20,44
1998,19-Sep-98,Leicester Tigers,Northampton Saints,35,25
1998,19-Sep-98,Bath,Richmond,36,14
1998,19-Sep-98,Bedford Blues,London Scottish,24,16
1998,19-Sep-98,London Irish,Wasps,24,36
1998,20-Sep-98,Gloucester,West Hartlepool,36,3
1998,20-Sep-98,Saracens,Sale Sharks,43,26
1998,26-Sep-98,Bedford Blues,Leicester Tigers,23,32
1998,26-Sep-98,Bath,Gloucester,21,16
1998,26-Sep-98,London Scottish,Saracens,20,58
1998,26-Sep-98,Sale Sharks,Harlequins,44,34
1998,27-Sep-98,Wasps,West Hartlepool,71,14
1998,27-Sep-98,Newcastle Falcons,London Irish,21,23
1998,3-Oct-98,Gloucester,Wasps,12,13
1998,3-Oct-98,Bath,Bedford Blues,57,19
1998,3-Oct-98,London Irish,Richmond,29,33
1998,3-Oct-98,Harlequins,London Scottish,22,20
1998,3-Oct-98,Northampton Saints,Sale Sharks,37,17
1998,4-Oct-98,West Hartlepool,Newcastle Falcons,19,24
1998,10-Oct-98,Bath,London Irish,23,20
1998,10-Oct-98,Bedford Blues,Harlequins,35,33
1998,10-Oct-98,Richmond,West Hartlepool,41,23
1998,10-Oct-98,London Scottish,Northampton Saints,22,33
1998,11-Oct-98,Newcastle Falcons,Wasps,27,19
1998,11-Oct-98,Saracens,Leicester Tigers,22,10
1998,17-Oct-98,Harlequins,Saracens,41,28
1998,17-Oct-98,Gloucester,Newcastle Falcons,41,32
1998,17-Oct-98,Leicester Tigers,Sale Sharks,31,15
1998,17-Oct-98,Northampton Saints,Bedford Blues,34,29
1998,17-Oct-98,West Hartlepool,Bath,20,50
1998,18-Oct-98,Wasps,Richmond,22,27
